"","term3","Freq"
"438","changing",4
"443","charge",4
"538","compact",4
"545","complain",4
"574","connection",4
"575","connections",4
"579","consider",4
"594","convenience",4
"596","conveniently",4
"636","cozy",4
"643","credit",4
"703","deposit",4
"709","design",4
"715","destination",4
"727","didnt",4
"743","directly",4
"763","district",4
"825","eateries",4
"845","empty",4
"894","exactly",4
"899","excellentstayed",4
"902","exceptionally",4
"908","expect",4
"939","familystayed",4
"990","flight",4
"995","floors",4
"999","fluffy",4
"1012","foodstayed",4
"1053","full",4
"1137","hadn",4
"1143","haji",4
"1144","halal",4
"1149","hand",4
"1173","hawkers",4
"1189","helped",4
"1268","improve",4
"1285","indian",4
"1359","keep",4
"1362","kept",4
"1394","lane",4
"1401","later",4
"1412","leave",4
"1418","let",4
"1430","lighting",4
"1456","locals",4
"1474","longer",4
"1476","looked",4
"1483","loud",4
"1486","love",4
"1490","lower",4
"1491","lucky",4
"1496","lunch",4
"1508","major",4
"1513","making",4
"1519","mall",4
"1583","mind",4
"1614","mosque",4
"1622","mr",4
"1662","neighborhood",4
"1668","newstayed",4
"1675","nicholl",4
"1690","noisy",4
"1692","non",4
"1731","okay",4
"1766","order",4
"1791","overhead",4
"1802","paid",4
"1829","pastries",4
"1836","payment",4
"1842","pei",4
"1860","photos",4
"1869","pillow",4
"1965","proper",4
"1994","quarter",4
"2001","quick",4
"2030","reach",4
"2035","ready",4
"2049","receptionist",4
"2056","recommended",4
"2134","ride",4
"2149","roofstayed",4
"2168","run",4
"2235","servicestayed",4
"2308","sized",4
"2317","slept",4
"2349","sofa",4
"2351","soft",4
"2373","spacious",4
"2395","spread",4
"2403","st",4
"2404","stadium",4
"2418","stand",4
"2437","staystayed",4
"2454","stores",4
"2473","stuff",4
"2477","style",4
"2492","suitcases",4
"2526","taken",4
"2527","takes",4
"2546","temperature",4
"2565","thanks",4
"2601","tight",4
"2663","transfer",4
"2666","transportation",4
"2676","travelling",4
"2678","tried",4
"2702","type",4
"2776","ve",4
"2777","vegetarian",4
"2825","warm",4
"2855","wellstayed",4
"2862","wet",4
"2880","windows",4
"2899","worked",4
"2","abit",3
"20","accommodate",3
"22","accommodating",3
"45","adjacent",3
"68","age",3
"80","allow",3
"139","areas",3
"147","aroundstayed",3
"156","arriving",3
"159","asap",3
"160","asian",3
"164","assist",3
"175","attention",3
"177","attitude",3
"189","average",3
"193","awaystayed",3
"194","awesome",3
"248","bedroom",3
"261","beginning",3
"285","bidet",3
"286","bidets",3
"291","birthday",3
"313","bookingscom",3
"329","boy",3
"332","brand",3
"334","bread",3
"354","brought",3
"358","budget",3
"368","buses",3
"378","buttons",3
"388","called",3
"417","cause",3
"426","centrestayed",3
"440","channels",3
"453","checking",3
"456","cheeses",3
"459","chicken",3
"466","chinese",3
"486","cleaner",3
"491","cleanness",3
"502","closes",3
"529","comfystayed",3
"541","compared",3
"552","complimentary",3
"569","congested",3
"588","continental",3
"597","convenientstayed",3
"634","cover",3
"664","daily",3
"752","dishes",3
"767","documents",3
"772","dollars",3
"787","downtown",3
"790","drain",3
"791","drainage",3
"796","drinks",3
"810","dusty",3
