"","term2","Freq"
"479","larger",1
"480","lasting",1
"482","later",1
"484","lauren",1
"485","leave",1
"487","level",1
"488","life",1
"490","lifts",1
"492","liked",1
"494","liquid",1
"495","literally",1
"497","living",1
"503","locationnice",1
"504","locations",1
"506","locker",1
"509","looked",1
"511","looks",1
"512","loose",1
"515","lotstayed",1
"516","love",1
"518","low",1
"520","luggages",1
"526","malaysia",1
"527","malls",1
"528","manage",1
"531","manger",1
"533","map",1
"536","marked",1
"537","massive",1
"538","mattress",1
"539","mattresses",1
"540","max",1
"542","maybe",1
"544","meal",1
"545","meals",1
"546","mean",1
"547","medium",1
"548","mentioned",1
"549","menu",1
"551","microwave",1
"558","mirror",1
"559","mistake",1
"560","mistaken",1
"562","modernstayed",1
"564","moneylocationstayed",1
"565","moneystayed",1
"566","month",1
"568","morning",1
"569","mornings",1
"572","movie",1
"577","nails",1
"578","name",1
"580","nan",1
"581","nasty",1
"582","national",1
"585","nearby",1
"587","nearly",1
"588","neat",1
"590","needed",1
"591","needs",1
"592","needsstayed",1
"594","new",1
"595","newrooms",1
"596","newstaff",1
"602","night",1
"603","nights",1
"606","noodles",1
"607","normal",1
"608","normally",1
"611","nothingbut",1
"613","number",1
"614","occupy",1
"616","odd",1
"620","office",1
"622","okay",1
"623","okaystayed",1
"624","old",1
"628","online",1
"630","operation",1
"631","opinion",1
"641","outlets",1
"643","outstayed",1
"647","owners",1
"648","packets",1
"649","paddle",1
"650","paid",1
"651","parking",1
"652","parota",1
"653","passports",1
"654","pathetic",1
"656","payment",1
"660","perfect",1
"661","perfectly",1
"663","personal",1
"664","photos",1
"665","pic",1
"670","placed",1
"671","places",1
"673","pm",1
"674","polite",1
"676","poolstayed",1
"677","powder",1
"679","prefer",1
"681","premiere",1
"682","premises",1
"684","previously",1
"686","priceless",1
"687","pricesecond",1
"688","pricestayed",1
"689","prior",1
"690","private",1
"693","professional",1
"694","prompt",1
"700","proximity",1
"702","puff",1
"703","purchase",1
"705","putting",1
"706","puzzled",1
"708","queen",1
"709","queue",1
"713","rain",1
"714","ralph",1
"716","rd",1
"717","reach",1
"718","reaching",1
"719","readiness",1
"720","ready",1
"721","readystayed",1
"722","real",1
"723","reality",1
"726","receptionist",1
"727","recommend",1
"728","recommended",1
"729","refund",1
"730","relaxing",1
"731","remind",1
"732","renovations",1
"733","rentin",1
"734","repeat",1
"735","repeatedly",1
"736","replenished",1
"737","requeststayed",1
"738","rest",1
"741","results",1
"742","retain",1
"743","returned",1
"744","ride",1
"747","romm",1
"751","roomno",1
"755","rude",1
"757","sad",1
"758","safe",1
"762","saystayed",1
"763","seated",1
"764","second",1
"765","security",1
"768","selection",1
"769","self",1
"771","sentosa",1
"775","servicestayed",1
"776","settled",1
"778","shade",1
"780","shave",1
"783","shellow",1
"784","shift",1
"786","shops",1
"789","shouldnt",1
"790","shoverstayed",1
"792","showering",1
"793","side",1
"794","sightseeing",1
"795","simple",1
"796","simply",1
"798","singaporeexcellent",1
"800","sit",1
"801","situated",1
"804","slightly",1
"808","smallnot",1
"810","smile",1
"811","smileit",1
"812","smoking",1
"815","sofa",1
"816","soft",1
"817","solid",1
"822","souvenirs",1
"824","spare",1
"825","spendstayed",1
"826","spicy",1
"827","spoke",1
"829","squeeze",1
"830","st",1
"831","stadium",1
"832","stadiumstayed",1
"834","staffmost",1
"837","stalls",1
"840","stars",1
"846","staying",1
"848","stepped",1
"849","steps",1
"852","stolen",1
"854","stopps",1
"855","store",1
"856","straightforward",1
"857","stream",1
"859","strict",1
"860","strong",1
"861","stuff",1
"862","stuffs",1
"863","stumbling",1
"864","style",1
"865","subcontinent",1
"868","suggestion",1
"869","suitcase",1
"871","superior",1
"872","supportive",1
"873","surprise",1
"879","takes",1
"880","tariff",1
"881","taste",1
"882","tasty",1
"883","tax",1
"885","tell",1
"886","terrible",1
"892","themlastly",1
"896","theresometimes",1
"897","therestayed",1
"900","thief",1
"903","thingsstayed",1
"909","throw",1
"911","timeno",1
"915","toe",1
"917","took",1
"918","toostayed",1
"920","torchlight",1
"921","tourists",1
"923","town",1
"924","townmy",1
"925","training",1
"926","transferred",1
"928","transporti",1
"929","transporting",1
"930","travel",1
"931","travelled",1
"932","travellersstayed",1
"935","trolleys",1
"936","trying",1
"937","tuck",1
"939","twenty",1
"943","unable",1
"944","uncomfortable",1
"945","underground",1
"946","understand",1
"947","understandable",1
"948","understandstayed",1
"950","unfortunatelystayed",1
"951","unfriendly",1
"952","unhelpfull",1
"953","unpleasant",1
"961","useful",1
"963","utilized",1
"964","valie",1
"966","varied",1
"968","varietystayed",1
"969","ve",1
"970","vehile",1
"972","vfmwithin",1
"973","vicinitystayed",1
"975","viewgreat",1
"976","views",1
"977","visit",1
"978","vivo",1
"980","waited",1
"982","wake",1
"983","wakeup",1
"986","walkstayed",1
"988","wanted",1
"989","wardrobe",1
"991","washroom",1
"993","watch",1
"995","way",1
"997","week",1
"998","welcomed",1
"1001","went",1
"1003","western",1
"1012","who",1
"1013","whole",1
"1015","wide",1
"1016","wierd",1
"1022","woman",1
"1023","wondered",1
"1024","worked",1
"1026","works",1
"1027","worried",1
"1030","wronglyfrom",1
"1032","young",1
