"","term3","Freq"
"1275","jacuzzistayed",2
"1279","job",2
"1281","join",2
"1306","kinds",2
"1308","kitchen",2
"1317","lacking",2
"1321","lampshades",2
"1336","laundry",2
"1356","levels",2
"1363","lights",2
"1373","literally",2
"1377","lizard",2
"1380","lobby",2
"1407","loungers",2
"1408","lousy",2
"1412","lovelystayed",2
"1415","loves",2
"1417","low",2
"1420","luge",2
"1424","lush",2
"1434","maintainedstayed",2
"1447","managed",2
"1456","marvellous",2
"1472","member",2
"1475","menu",2
"1484","middle",2
"1485","midnight",2
"1488","mildew",2
"1489","min",2
"1493","mini",2
"1498","minute",2
"1504","mode",2
"1505","mold",2
"1510","moneystayed",2
"1513","monorailstayed",2
"1522","mosquitos",2
"1545","musty",2
"1551","nasty",2
"1562","nearly",2
"1571","negative",2
"1589","nights",2
"1601","noisystayed",2
"1604","nonestayed",2
"1605","noodles",2
"1609","normal",2
"1616","nothingstayed",2
"1617","notice",2
"1620","now",2
"1647","okay",2
"1653","oldstayed",2
"1670","ordinary",2
"1673","orientated",2
"1686","outstayed",2
"1698","overpriced",2
"1709","palms",2
"1710","paper",2
"1711","par",2
"1721","pass",2
"1730","pay",2
"1731","paying",2
"1737","peacocks",2
"1738","peak",2
"1740","peeling",2
"1752","person",2
"1753","personally",2
"1756","phone",2
"1772","placed",2
"1773","places",2
"1775","placing",2
"1784","plates",2
"1785","play",2
"1795","point",2
"1809","poorly",2
"1810","poorstayed",2
"1815","power",2
"1818","prata",2
"1822","premises",2
"1825","presentation",2
"1831","previous",2
"1834","priced",2
"1842","private",2
"1846","process",2
"1856","promptly",2
"1860","proper",2
"1887","quickly",2
"1897","rail",2
"1900","rainforest",2
"1906","rate",2
"1911","reach",2
"1931","reduce",2
"1938","refurbishment",2
"1939","refused",2
"1950","remove",2
"1955","rent",2
"1985","respond",2
"1986","responded",2
"1993","return",2
"2022","rotten",2
"2032","running",2
"2046","sand",2
"2047","sands",2
"2052","satisfied",2
"2055","saw",2
"2059","scenerystayed",2
"2060","scenic",2
"2079","self",2
"2083","sense",2
"2086","sentosastayed",2
"2102","sewage",2
"2109","sheet",2
"2129","shown",2
"2135","sight",2
"2137","signal",2
"2156","sized",2
"2177","slippery",2
"2189","smelt",2
"2191","smoking",2
"2210","soon",2
"2211","sooo",2
"2213","sorry",2
"2215","sound",2
"2220","spaces",2
"2230","spent",2
"2234","spoiled",2
"2247","squirrels",2
"2253","staffstayed",2
"2264","stars",2
"2268","state",2
"2269","stated",2
"2273","stations",2
"2283","steep",2
"2285","steps",2
"2292","stone",2
"2295","stops",2
"2300","strange",2
"2302","stream",2
"2308","strong",2
"2313","stuff",2
"2317","stunning",2
"2322","suffering",2
"2324","suggest",2
"2332","sunday",2
"2337","superior",2
"2350","surrounds",2
"2359","swimmingpool",2
"2360","swimmingstayed",2
"2361","swing",2
"2367","tables",2
"2372","taken",2
"2374","taking",2
"2375","talk",2
"2376","talking",2
"2377","tap",2
"2388","team",2
"2398","terribly",2
"2406","thats",2
"2425","thin",2
"2444","throw",2
"2470","toiletries",2
"2479","toothbrush",2
"2486","touch",2
"2491","tourists",2
"2499","trained",2
"2534","tummy",2
"2539","twin",2
"2542","type",2
"2546","unable",2
"2557","unfortunately",2
"2561","unique",2
"2563","universal",2
"2574","update",2
"2579","upgradestayed",2
"2580","upgrading",2
"2598","vacation",2
"2599","vacationstayed",2
"2634","vivo",2
"2642","waiter",2
"2653","wallpaper",2
"2657","wanted",2
"2662","wash",2
"2663","washed",2
"2666","wasnt",2
"2669","wasting",2
"2672","waterfallstayed",2
"2680","wearing",2
"2683","wedding",2
"2689","welcomed",2
"2702","wheels",2
"2711","white",2
"2719","wife",2
"2739","wonderfulstayed",2
"2741","wood",2
"2743","worked",2
"2750","worried",2
"2757","wrong",2
"2759","wz",2
"4","abled",1
"7","aboutstayed",1
"9","absence",1
"11","abv",1
"12","ac",1
"14","acceptablethe",1
"15","accesories",1
"17","accessibility",1
"19","accident",1
"20","accommodate",1
"21","accommodating",1
"23","accomodation",1
"24","according",1
"26","accumulated",1
"27","acessible",1
"28","ache",1
"30","acrossthe",1
"31","acted",1
"32","action",1
"34","activitiesstayed",1
"35","actual",1
"37","actuallystayed",1
"38","acutally",1
"40","added",1
"44","adequately",1
"46","adjust",1
"49","adn",1
"52","aeroline",1
"53","afford",1
"60","agoda",1
"62","agreement",1
"63","aint",1
"66","airconditioning",1
"67","airconditioningstayed",1
"69","airportstayed",1
"70","airystayed",1
"71","algaes",1
"73","allonly",1
"75","allows",1
"84","alsostayed",1
"85","althiugh",1
"89","amasing",1
"91","amazingly",1
"93","ambiance",1
"97","amentities",1
"102","animations",1
"104","anniverysaryvery",1
"107","answered",1
"108","ant",1
"109","antidote",1
"110","antihistamines",1
"111","antracite",1
"115","anymore",1
"119","apologized",1
"120","appetising",1
"121","appetizing",1
"122","applaud",1
"124","appropriately",1
"125","apps",1
"129","areabreakfast",1
"132","areasthe",1
"133","arestayed",1
"134","arguing",1
"136","aroundstayed",1
"137","arrange",1
"139","arranging",1
"141","arrived",1
"144","asian",1
"147","asks",1
"149","aspect",1
"150","aspects",1
"151","ass",1
"152","assist",1
"155","atmospherestayed",1
"156","attached",1
"157","attend",1
"158","attentive",1
"159","attentivenice",1
"161","attract",1
"164","attractionsstaff",1
"170","averagerooms",1
"171","avoid",1
"172","awarded",1
"173","aware",1
"177","awesomethumbs",1
"178","awhile",1
"179","awkward",1
"180","awsone",1
"184","backdrop",1
"185","bacon",1
"187","badly",1
"188","bag",1
"190","bakedstayed",1
"191","balcony",1
"194","bank",1
"195","banned",1
"196","bar",1
"197","barely",1
"202","basement",1
"204","basically",1
"205","basket",1
"207","bathe",1
"208","bathmat",1
"211","bathrooms",1
"214","baystayed",1
"215","bc",1
"218","beaches",1
"219","beachesstayed",1
"220","beachfront",1
"221","beachhotel",1
"222","beachjust",1
"224","beakfeat",1
"225","bear",1
"226","bearing",1
"227","beaten",1
"228","beatiful",1
"230","beautifully",1
"234","bedroom",1
"236","bedseven",1
"237","bedsheet",1
"238","bedsheets",1
"239","bedstayed",1
"241","beer",1
"242","beerstayed",1
"244","beforeand",1
"245","begin",1
"246","beginnersstayed",1
"247","behavior",1
"248","behaviourroom",1
"258","betterand",1
"259","bettermore",1
"260","betterno",1
"261","betterstayed",1
"262","bfaststayed",1
"263","bfst",1
"264","bicycle",1
"267","bigand",1
