"","ID","neg","pos","sentiment"
"409","466",0,0,0
"410","468",2,3,1
"411","469",0,1,1
"412","47",1,5,4
"413","470",2,0,-2
"414","471",0,15,15
"415","472",0,1,1
"416","473",0,2,2
"417","474",0,4,4
"418","475",0,6,6
"419","476",2,4,2
"420","477",1,1,0
"421","478",0,1,1
"422","479",2,4,2
"423","48",0,2,2
"424","480",4,7,3
"425","481",0,1,1
"426","482",0,1,1
"427","483",0,2,2
"428","484",1,0,-1
"429","485",0,3,3
"430","486",0,3,3
"431","487",0,5,5
"432","488",0,1,1
"433","489",3,0,-3
"434","490",0,3,3
"435","491",0,6,6
"436","492",0,2,2
"437","493",1,0,-1
"438","494",0,1,1
"439","495",0,0,0
"440","496",0,2,2
"441","497",0,1,1
"442","498",0,2,2
"443","499",0,0,0
"444","5",0,2,2
"445","50",0,1,1
"446","500",0,1,1
"447","502",2,4,2
"448","503",0,2,2
"449","504",0,0,0
"450","505",0,0,0
"451","506",1,1,0
"452","507",0,1,1
"453","508",2,2,0
"454","509",0,3,3
"455","51",0,0,0
"456","510",1,3,2
"457","511",0,2,2
"458","512",0,2,2
"459","513",0,3,3
"460","514",0,1,1
"461","515",1,2,1
"462","516",0,4,4
"463","517",0,1,1
"464","518",1,4,3
"465","519",2,6,4
"466","52",0,7,7
"467","520",0,4,4
"468","521",1,3,2
"469","522",1,3,2
"470","523",2,1,-1
"471","524",0,2,2
"472","525",5,8,3
"473","526",0,2,2
"474","527",0,3,3
"475","528",1,2,1
"476","529",1,0,-1
"477","53",0,2,2
"478","530",2,4,2
"479","532",0,2,2
"480","533",0,1,1
"481","534",0,1,1
"482","535",0,0,0
"483","536",0,1,1
"484","537",0,1,1
"485","538",0,4,4
"486","539",1,7,6
"487","54",0,7,7
"488","540",0,1,1
"489","541",2,3,1
"490","542",0,3,3
"491","543",4,0,-4
"492","544",0,0,0
"493","545",1,5,4
"494","546",0,2,2
"495","547",0,4,4
"496","548",0,1,1
"497","549",1,5,4
"498","55",0,1,1
"499","550",1,0,-1
"500","551",1,1,0
"501","552",0,2,2
"502","553",1,2,1
"503","554",0,2,2
"504","555",0,4,4
"505","556",0,4,4
"506","557",0,1,1
"507","558",1,0,-1
"508","559",0,2,2
"509","56",11,12,1
"510","560",1,4,3
"511","561",2,1,-1
"512","562",1,0,-1
"513","563",0,3,3
"514","564",0,2,2
"515","565",1,1,0
"516","566",0,2,2
"517","567",0,2,2
"518","568",2,5,3
"519","569",0,3,3
"520","57",1,3,2
"521","570",0,1,1
"522","571",0,2,2
"523","574",0,3,3
"524","575",0,1,1
"525","576",0,3,3
"526","577",2,4,2
"527","578",0,6,6
"528","579",0,3,3
"529","58",0,6,6
"530","580",0,3,3
"531","581",0,5,5
"532","582",0,4,4
"533","583",0,2,2
"534","584",0,1,1
"535","585",5,5,0
"536","586",1,9,8
"537","587",0,1,1
"538","588",2,4,2
"539","589",0,0,0
"540","59",1,6,5
"541","590",0,1,1
"542","591",1,0,-1
"543","592",2,7,5
"544","594",0,4,4
"545","595",0,2,2
"546","596",0,2,2
"547","598",1,3,2
"548","599",0,5,5
"549","6",2,3,1
"550","60",1,0,-1
"551","600",2,0,-2
"552","601",0,3,3
"553","602",2,11,9
"554","603",1,4,3
"555","604",0,6,6
"556","605",0,2,2
"557","606",0,4,4
"558","607",2,2,0
"559","608",0,1,1
"560","609",0,1,1
"561","61",0,1,1
"562","610",0,2,2
"563","611",1,4,3
"564","612",1,4,3
"565","613",0,2,2
"566","614",1,10,9
"567","615",1,4,3
"568","616",0,4,4
"569","617",1,0,-1
"570","618",0,2,2
"571","619",0,1,1
"572","62",0,2,2
"573","620",0,2,2
"574","621",2,4,2
"575","622",1,1,0
"576","623",0,2,2
"577","624",0,1,1
"578","625",0,1,1
"579","626",0,1,1
"580","627",0,1,1
"581","628",0,2,2
"582","629",0,4,4
"583","63",0,3,3
"584","630",3,5,2
"585","631",1,3,2
"586","632",0,3,3
"587","633",0,3,3
"588","634",2,5,3
"589","635",0,1,1
"590","636",1,3,2
"591","637",0,2,2
"592","638",3,4,1
"593","639",0,1,1
"594","64",0,5,5
"595","640",1,2,1
"596","641",1,1,0
"597","642",0,2,2
"598","643",0,1,1
"599","644",1,1,0
"600","645",3,5,2
"601","646",5,11,6
"602","647",1,1,0
"603","648",0,8,8
"604","649",1,0,-1
"605","65",0,1,1
"606","651",6,6,0
"607","652",0,1,1
"608","654",0,7,7
"609","655",0,1,1
"610","656",0,4,4
"611","658",4,5,1
"612","66",1,1,0
"613","660",0,6,6
"614","661",1,3,2
"615","662",0,1,1
"616","663",0,2,2
"617","664",0,3,3
"618","665",0,0,0
"619","666",0,2,2
"620","667",1,7,6
"621","668",0,3,3
"622","669",0,1,1
"623","67",1,4,3
"624","671",1,1,0
"625","672",0,1,1
"626","673",0,0,0
"627","674",2,0,-2
"628","675",0,2,2
"629","676",0,3,3
"630","677",0,1,1
"631","678",0,2,2
"632","679",2,1,-1
"633","68",1,1,0
"634","680",1,1,0
"635","681",0,1,1
"636","682",1,1,0
"637","683",0,1,1
"638","684",1,1,0
"639","685",1,4,3
"640","686",0,2,2
"641","687",0,3,3
"642","688",0,2,2
"643","689",9,5,-4
"644","69",0,1,1
"645","690",0,1,1
"646","691",0,0,0
"647","692",2,5,3
"648","693",4,5,1
"649","694",1,4,3
"650","695",2,2,0
"651","696",1,3,2
"652","698",0,3,3
"653","699",0,1,1
"654","7",1,1,0
"655","70",0,4,4
"656","700",1,3,2
"657","701",1,3,2
"658","702",0,2,2
"659","703",0,4,4
"660","704",1,1,0
"661","705",0,1,1
"662","706",1,5,4
"663","707",0,1,1
"664","708",0,2,2
"665","709",0,2,2
"666","71",0,2,2
"667","710",1,5,4
"668","711",0,2,2
"669","712",0,4,4
"670","715",2,0,-2
"671","716",0,1,1
"672","717",0,5,5
"673","718",1,0,-1
"674","719",1,5,4
"675","72",0,0,0
"676","720",2,3,1
"677","721",0,2,2
"678","723",3,0,-3
"679","724",0,2,2
"680","725",1,0,-1
"681","726",0,1,1
"682","727",1,1,0
"683","728",0,3,3
"684","729",0,1,1
"685","73",0,1,1
"686","730",0,1,1
"687","731",0,3,3
"688","733",2,3,1
"689","734",0,3,3
"690","735",0,5,5
"691","736",0,1,1
"692","737",0,3,3
"693","738",0,0,0
"694","739",0,3,3
"695","740",0,2,2
"696","741",0,1,1
"697","742",0,5,5
"698","743",0,1,1
"699","744",0,6,6
"700","745",0,2,2
"701","749",0,1,1
"702","75",1,3,2
"703","750",1,1,0
"704","753",0,2,2
"705","754",0,1,1
"706","755",0,3,3
"707","756",0,1,1
"708","757",0,0,0
"709","758",0,5,5
"710","759",0,3,3
"711","76",0,1,1
"712","760",0,2,2
"713","761",0,6,6
"714","762",3,4,1
"715","763",0,1,1
"716","764",1,1,0
"717","766",2,6,4
"718","768",0,1,1
"719","769",0,7,7
"720","77",1,3,2
"721","770",1,6,5
"722","771",1,2,1
"723","773",0,2,2
"724","774",0,1,1
"725","775",0,4,4
"726","776",0,4,4
"727","777",5,11,6
"728","778",0,2,2
"729","779",0,1,1
"730","78",0,2,2
"731","780",1,2,1
"732","781",1,2,1
"733","782",0,2,2
"734","783",0,8,8
"735","784",0,4,4
"736","785",0,4,4
"737","786",0,5,5
"738","787",1,5,4
"739","789",0,0,0
"740","79",1,7,6
"741","790",1,1,0
"742","791",0,2,2
"743","792",1,0,-1
"744","793",0,1,1
"745","795",0,1,1
"746","796",0,0,0
"747","797",0,3,3
"748","798",1,5,4
"749","799",0,1,1
"750","8",0,2,2
"751","80",2,3,1
"752","800",0,3,3
"753","801",0,4,4
"754","802",0,0,0
"755","803",2,0,-2
"756","805",0,0,0
"757","806",0,1,1
"758","807",1,0,-1
"759","808",0,2,2
"760","809",3,3,0
"761","810",0,1,1
"762","811",0,8,8
"763","812",0,2,2
"764","813",1,5,4
"765","814",0,3,3
"766","815",0,5,5
"767","816",0,1,1
"768","817",0,2,2
"769","819",0,1,1
"770","82",0,5,5
"771","820",2,1,-1
"772","821",7,8,1
"773","822",0,5,5
"774","825",0,3,3
"775","826",0,3,3
"776","827",0,0,0
"777","828",0,1,1
"778","829",0,1,1
"779","83",0,3,3
"780","831",1,9,8
"781","832",0,3,3
"782","833",0,1,1
"783","834",2,4,2
"784","836",2,7,5
"785","837",0,2,2
"786","838",0,1,1
"787","839",2,3,1
"788","84",0,2,2
"789","840",2,0,-2
"790","841",0,2,2
"791","842",0,1,1
"792","843",0,1,1
"793","844",1,1,0
"794","846",0,1,1
"795","847",0,5,5
"796","848",0,2,2
"797","85",1,2,1
"798","850",0,2,2
"799","851",1,3,2
"800","852",0,5,5
"801","853",0,1,1
"802","854",0,2,2
"803","855",0,3,3
"804","856",0,6,6
"805","857",1,0,-1
"806","858",2,6,4
"807","859",1,0,-1
"808","86",0,5,5
"809","860",0,0,0
"810","861",1,3,2
"811","862",1,1,0
"812","863",0,4,4
"813","864",0,1,1
"814","865",2,3,1
"815","866",1,3,2
"816","868",1,2,1
"817","87",0,2,2
"818","870",2,5,3
"819","871",1,8,7
"820","872",3,1,-2
"821","873",0,7,7
"822","874",5,9,4
"823","875",2,4,2
"824","876",0,7,7
"825","877",0,0,0
"826","878",0,0,0
"827","879",1,2,1
"828","88",0,1,1
"829","880",2,1,-1
"830","881",3,4,1
"831","882",0,0,0
"832","883",0,1,1
"833","884",0,2,2
"834","885",0,4,4
"835","886",0,1,1
"836","887",0,0,0
"837","888",3,4,1
"838","889",0,5,5
"839","89",1,5,4
"840","890",0,1,1
"841","891",1,0,-1
"842","892",0,3,3
"843","893",0,2,2
"844","894",1,1,0
"845","895",0,2,2
"846","896",1,1,0
"847","897",0,2,2
"848","898",0,2,2
"849","9",0,2,2
"850","90",0,1,1
"851","900",0,2,2
"852","902",0,1,1
"853","903",0,6,6
"854","905",0,2,2
"855","906",0,1,1
"856","907",0,7,7
"857","908",0,2,2
"858","909",0,3,3
"859","91",1,3,2
"860","910",1,1,0
"861","911",2,7,5
"862","912",5,4,-1
"863","913",0,1,1
"864","914",0,2,2
"865","915",2,1,-1
"866","916",0,1,1
"867","917",0,1,1
"868","918",5,2,-3
"869","92",0,3,3
"870","920",1,5,4
"871","921",0,0,0
"872","923",0,1,1
"873","925",1,1,0
"874","926",0,2,2
"875","927",1,1,0
"876","928",0,4,4
"877","929",0,4,4
"878","93",0,2,2
"879","930",0,1,1
"880","931",1,5,4
"881","932",1,3,2
"882","934",1,2,1
"883","935",0,5,5
"884","936",0,1,1
"885","938",1,1,0
"886","939",0,3,3
"887","94",1,2,1
"888","940",0,1,1
"889","942",0,2,2
"890","943",0,2,2
"891","945",1,1,0
"892","946",2,0,-2
"893","947",0,3,3
"894","948",1,2,1
"895","950",0,1,1
"896","951",0,1,1
"897","952",0,8,8
"898","953",1,3,2
"899","954",1,9,8
"900","955",0,2,2
"901","956",0,6,6
"902","957",0,1,1
"903","959",2,4,2
"904","96",1,3,2
"905","960",0,0,0
"906","961",1,3,2
"907","962",0,0,0
"908","965",0,5,5
"909","966",0,1,1
"910","967",1,2,1
"911","968",0,2,2
"912","969",0,1,1
"913","97",1,2,1
"914","970",0,0,0
"915","971",5,4,-1
"916","972",1,3,2
"917","973",0,3,3
"918","974",2,1,-1
"919","975",0,1,1
"920","976",0,2,2
"921","979",0,0,0
"922","980",1,3,2
"923","981",2,3,1
"924","982",1,1,0
"925","984",0,2,2
"926","986",2,0,-2
"927","987",0,2,2
"928","988",1,1,0
"929","989",3,3,0
"930","99",0,1,1
"931","990",1,0,-1
"932","991",1,1,0
"933","992",0,1,1
"934","993",4,3,-1
"935","994",1,7,6
"936","997",0,1,1
"937","998",0,2,2
"938","999",0,0,0
