"","term3","Freq"
"2959","wheelchair",4
"2971","wi",4
"3005","works",4
"3025","years",4
"3026","yes",4
"25","accommodatingstayed",3
"27","accomodation",3
"49","adjoining",3
"94","allow",3
"97","allstayed",3
"111","ambience",3
"149","appreciatedstayed",3
"175","arrivalstayed",3
"180","arriving",3
"196","ate",3
"216","availablestayed",3
"217","average",3
"257","basic",3
"264","bathstayed",3
"277","beat",3
"279","beautifully",3
"302","believe",3
"337","bluetooth",3
"339","boarding",3
"342","bonus",3
"373","brilliant",3
"375","broken",3
"395","cabinets",3
"405","calming",3
"439","centre",3
"445","chance",3
"447","changed",3
"492","citystayed",3
"510","clearly",3
"516","closed",3
"517","closer",3
"534","comes",3
"557","complain",3
"561","complementary",3
"567","computer",3
"592","consider",3
"612","cool",3
"616","corner",3
"623","costs",3
"625","cosy",3
"630","couldnt",3
"669","curtains",3
"702","decision",3
"725","departures",3
"746","detail",3
"754","difficult",3
"755","dim",3
"764","dirty",3
"768","disappointed",3
"775","discovered",3
"778","dislikes",3
"792","doesnt",3
"794","dollars",3
"803","double",3
"808","downtown",3
"815","drop",3
"824","dust",3
"846","efficientstayed",3
"878","enter",3
"881","entrance",3
"903","europe",3
"923","excellentstayed",3
"931","executive",3
"938","expect",3
"939","expectations",3
"946","expensivestayed",3
"953","explore",3
"987","fairly",3
"991","family",3
"1000","faster",3
"1009","features",3
"1032","firm",3
"1035","fitness",3
"1055","floors",3
"1119","garden",3
"1152","goodness",3
"1157","gorgeous",3
"1165","greatly",3
"1216","hassle",3
"1225","head",3
"1268","hope",3
"1292","hr",3
"1325","improvement",3
"1349","informed",3
"1382","issue",3
"1399","jet",3
"1407","journey",3
"1410","journeystayed",3
"1416","keep",3
"1426","kind",3
"1430","kit",3
"1448","last",3
"1451","later",3
"1491","limited",3
"1496","lines",3
"1503","lit",3
"1504","literally",3
"1515","locals",3
"1535","looking",3
"1536","looks",3
"1548","lovelystayed",3
"1572","maintained",3
"1573","maintainedstayed",3
"1575","major",3
"1599","maybe",3
"1605","meant",3
"1610","members",3
"1612","mention",3
"1622","middle",3
"1623","midnight",3
"1625","milk",3
"1669","muggy",3
"1674","musty",3
"1694","neededstayed",3
"1730","non",3
"1732","normal",3
"1736","note",3
"1768","officer",3
"1795","opened",3
"1838","overlooking",3
"1842","overpriced",3
"1868","park",3
"1884","passengers",3
"1893","paying",3
"1894","payment",3
"1909","person",3
"1917","picked",3
"1940","play",3
"1962","polite",3
"1985","prefer",3
"1992","prepared",3
"1996","presented",3
"2003","prices",3
"2077","rain",3
"2087","rates",3
"2094","reach",3
"2096","read",3
"2103","reason",3
"2104","reasonable",3
"2109","receive",3
"2121","recommendstayed",3
"2159","requests",3
"2234","runwaystayed",3
"2238","safe",3
"2256","saying",3
"2269","seamless",3
"2325","shade",3
"2329","shampoo",3
"2350","showerstayed",3
"2364","sign",3
"2372","simple",3
"2404","slippery",3
"2409","smell",3
"2416","smrt",3
"2417","snack",3
"2421","soaking",3
"2436","son",3
"2450","sounds",3
"2456","spaciousstayed",3
"2464","specially",3
"2475","spotless",3
"2521","steep",3
"2523","steps",3
"2565","suit",3
"2567","suitcases",3
"2569","suited",3
"2576","supermarket",3
"2582","surprise",3
"2584","surprisingly",3
"2589","swim",3
"2641","terminalsstayed",3
"2644","terms",3
"2645","terrific",3
"2648","th",3
"2717","toostayed",3
"2728","tour",3
"2729","tourist",3
"2735","toys",3
"2780","trolley",3
"2803","uber",3
"2827","unlimited",3
"2854","usestayed",3
"2858","usual",3
"2897","visitors",3
"2915","walkway",3
"2916","walkways",3
"2922","wanting",3
"2923","warm",3
"2939","weary",3
"2946","welcoming",3
"2973","wife",3
"2988","wish",3
"3013","wouldn",3
"3036","youstayed",3
"15","accept",2
"19","accessing",2
"20","accessstayed",2
"23","accommodate",2
"41","add",2
"46","adequate",2
"52","advance",2
"58","advise",2
"68","afternoon",2
"77","airconditioned",2
"81","airlines",2
"88","airports",2
"100","alone",2
"109","amazingly",2
"116","amenitiesstayed",2
"125","annoying",2
"127","answer",2
"128","answered",2
"170","arranged",2
"184","asian",2
"188","asleep",2
"189","assess",2
"190","asset",2
"192","assist",2
"201","attend",2
"205","attraction",2
"213","automated",2
"224","awaystayed",2
"231","azure",2
"241","bad",2
"242","bag",2
"243","baggage",2
"246","bali",2
"252","bars",2
"254","base",2
"256","basement",2
"258","basically",2
"262","bathrooms",2
"270","bay",2
"288","bedside",2
"296","beer",2
"303","belong",2
"305","bench",2
"321","bill",2
"322","bin",2
"323","birthday",2
"328","blame",2
"330","blanket",2
"333","block",2
"334","blocking",2
"351","bother",2
"352","bottle",2
"353","bottled",2
"357","bowl",2
"359","bread",2
"364","breakfasts",2
"369","bridge",2
"371","bright",2
"377","browns",2
"381","buffetstayed",2
"393","cab",2
"410","cancelled",2
"416","care",2
"417","careful",2
"421","carry",2
"424","case",2
"425","cases",2
"431","catered",2
"437","center",2
"452","changistayed",2
"457","chargers",2
"458","charges",2
"459","charging",2
"461","charming",2
"463","cheaper",2
"483","choicestayed",2
"484","choose",2
"498","cleaned",2
"499","cleaner",2
"503","cleanlinessstayed",2
"508","cleared",2
"513","clients",2
"518","closet",2
"519","cloud",2
"523","cocktails",2
"529","collection",2
"542","comforter",2
"544","comfystayed",2
"548","comment",2
"549","comments",2
"562","complex",2
"563","complicated",2
"578","confirming",2
"598","continental",2
"618","correct",2
"622","costly",2
"632","countries",2
"633","couple",2
"636","course",2
"637","court",2
"647","cozy",2
"648","cramped",2
"653","crib",2
"661","crown",2
"664","crumbs",2
"670","custom",2
"672","customers",2
"673","customs",2
"685","dated",2
"689","daughters",2
"693","daylight",2
"704","decorated",2
"711","degree",2
"726","departurestayed",2
"735","designstayed",2
"761","direction",2
"765","disabled",2
"771","disappointment",2
"782","distancestayed",2
"785","disturb",2
"800","doors",2
"801","doorstep",2
"813","drinks",2
"814","driver",2
"819","dryer",2
"826","duty",2
"827","duvet",2
"830","earlier",2
"839","eateries",2
"851","electronic",2
"866","engine",2
"867","english",2
"876","enquiries",2
"884","environment",2
"901","etcstayed",2
"916","everythingstayed",2
"932","exercise",2
"937","exit",2
"948","experienced",2
"950","experiencestayed",2
"959","extensive",2
"965","extras",2
"971","fab",2
"989","fall",2
"990","falling",2
"1005","favourite",2
"1016","fell",2
"1027","fine",2
"1041","flat",2
"1054","flooring",2
"1057","fluffy",2
"1061","follow",2
"1065","foods",2
"1075","fortunately",2
"1086","fresh",2
"1098","frost",2
"1100","fruit",2
"1109","functional",2
"1113","furniture",2
"1116","future",2
"1117","futurestayed",2
"1139","gives",2
"1140","giving",2
"1141","glad",2
"1161","grateful",2
"1169","greenery",2
"1172","greeting",2
"1175","ground",2
"1176","grounds",2
"1179","gst",2
"1193","hair",2
"1195","half",2
"1198","hallways",2
"1205","happen",2
"1215","hash",2
"1221","haven",2
"1223","hawker",2
"1227","healthy",2
"1230","heat",2
"1231","heater",2
"1233","heavy",2
"1257","hold",2
"1270","hoping",2
"1273","hose",2
"1289","housekeeping",2
"1301","husband",2
"1305","idea",2
"1307","ideally",2
"1311","ihg",2
"1317","impeccably",2
"1320","impressed",2
"1321","impressive",2
"1323","improve",2
"1340","incredible",2
"1346","inform",2
"1359","instayed",2
"1383","issues",2
"1403","job",2
"1419","kept",2
"1420","kettle",2
"1427","kinda",2
"1432","known",2
"1437","lady",2
"1441","landing",2
"1446","larger",2
"1459","layovers",2
"1464","leaking",2
"1479","let",2
"1484","lifts",2
"1530","longerstayed",2
"1541","loud",2
"1556","lunch",2
"1560","luxuriousstayed",2
"1574","maintenance",2
"1578","making",2
"1580","man",2
"1587","maps",2
"1589","marina",2
"1592","massive",2
"1595","matter",2
"1596","mattress",2
"1604","means",2
"1607","meeting",2
"1608","meetings",2
"1609","member",2
"1627","mill",2
"1632","mini",2
"1633","minimal",2
"1639","misread",2
"1641","missing",2
"1642","mist",2
"1658","morningstayed",2
"1664","mrtstayed",2
"1680","name",2
"1686","nd",2
"1697","needsstayed",2
"1699","neighbours",2
"1703","network",2
"1708","news",2
"1714","nicestayed",2
"1721","nightstayed",2
"1734","notch",2
"1741","noticed",2
"1748","numerous",2
"1755","obviously",2
"1756","occasional",2
"1793","opaque",2
"1797","opens",2
"1804","option",2
"1808","orchard",2
"1809","order",2
"1815","organized",2
"1816","original",2
"1832","outstayed",2
"1837","overlook",2
"1847","overstayed",2
"1854","packets",2
"1865","parent",2
"1886","passing",2
"1887","passport",2
"1897","peanut",2
"1913","phenomenal",2
"1915","phoned",2
"1925","pipe",2
"1929","places",2
"1937","plans",2
"1949","pleasure",2
"1967","poolside",2
"1970","poolthe",2
"1973","pop",2
"1978","position",2
"1979","positioned",2
"1981","possiblestayed",2
"1983","power",2
"1984","practically",2
"1987","preferred",2
"1998","pressure",2
"2000","previous",2
"2004","pricestayed",2
"2010","prior",2
"2017","problems",2
"2022","products",2
"2030","proofed",2
"2038","providedstayed",2
"2043","punctual",2
"2062","queues",2
"2064","quickly",2
"2071","quoted",2
"2078","raining",2
"2079","rains",2
"2091","razor",2
"2092","rd",2
"2097","readily",2
"2099","real",2
"2101","realised",2
"2105","reasonably",2
"2119","recommended",2
"2124","red",2
"2130","refreshing",2
"2132","refund",2
"2146","relaxingstayed",2
"2148","remember",2
"2152","replaced",2
"2158","requesting",2
"2161","required",2
"2162","requirements",2
"2167","resort",2
"2168","response",2
"2187","returning",2
"2191","rice",2
"2194","ride",2
"2200","road",2
"2204","robe",2
"2206","roll",2
"2288","selectionstayed",2
"2297","separate",2
"2299","separating",2
"2304","served",2
"2306","serves",2
"2312","serving",2
"2314","sessions",2
"2322","sewing",2
"2332","sheet",2
"2338","shop",2
"2346","show",2
"2349","showers",2
"2356","shut",2
"2373","simply",2
"2379","single",2
"2385","sitting",2
"2393","skytrain",2
"2402","slightly",2
"2410","smelt",2
"2411","smile",2
"2420","soak",2
"2442","sort",2
"2447","sounded",2
"2470","spend",2
"2471","spending",2
"2474","spot",2
"2476","spotlessly",2
"2493","stage",2
"2516","stays",2
"2519","steam",2
"2522","stepping",2
"2535","stopping",2
"2536","stopstayed",2
"2542","stress",2
"2547","structure",2
"2553","stunning",2
"2562","suggest",2
"2574","superior",2
"2579","supposed",2
"2585","surrounding",2
"2588","swift",2
"2609","talking",2
"2617","tastesstayed",2
"2622","taxes",2
"2631","tell",2
"2633","temperature",2
"2656","thats",2
"2668","therestayed",2
"2675","third",2
"2688","throw",2
"2691","ticket",2
"2692","tickets",2
"2693","tight",2
"2701","timing",2
"2711","toilets",2
"2725","touches",2
"2736","track",2
"2740","trained",2
"2743","trains",2
"2746","tranquil",2
"2753","transparent",2
"2764","traveller",2
"2768","travellingstayed",2
"2773","treatment",2
"2782","trouble",2
"2784","truly",2
"2793","turned",2
"2798","twin",2
"2809","unbelievably",2
"2811","uncomfortable",2
"2815","understand",2
"2817","understatement",2
"2820","unexpected",2
"2828","unnecessary",2
"2841","upper",2
"2852","useful",2
"2856","usstayed",2
"2865","valet",2
"2866","valuable",2
"2890","viewstayed",2
"2898","visits",2
"2917","wall",2
"2918","walls",2
"2929","wasnat",2
"2940","weather",2
"2943","weeks",2
"2947","welcomingstayed",2
"2950","wellstayed",2
"2954","werent",2
"2972","wide",2
"2989","wished",2
"2993","withstayed",2
"2995","won",2
"3009","worry",2
"3024","year",2
"3028","yo",2
"3032","young",2
"3039","zealand",2
"2","abit",1
"5","aboutm",1
"6","aboutstayed",1
"8","abroad",1
"9","absolute",1
"11","absorbed",1
"12","abut",1
"13","ac",1
"14","accede",1
"17","accessed",1
"21","accidents",1
"22","accom",1
"28","according",1
"29","account",1
"30","accurate",1
"31","accuratelystayed",1
"32","ached",1
"33","achieve",1
"35","activate",1
"36","activity",1
"37","actual",1
"39","adaptingstayed",1
"40","adaptor",1
"42","addition",1
"44","address",1
"45","adds",1
"47","adge",1
"48","adjacent",1
"50","adjust",1
"51","adults",1
"53","advanced",1
"54","advantage",1
"55","adventure",1
"56","advertisingstayed",1
"57","advice",1
"59","aeroplane",1
"60","aesthetically",1
"61","aestheticallystayed",1
"62","afford",1
"63","affordable",1
"64","afforded",1
"65","affortable",1
"66","africastayed",1
"72","ago",1
"74","airbus",1
"75","aircon",1
"76","aircond",1
"79","aired",1
"80","airline",1
"82","airoplanes",1
"83","airplane",1
"84","airplanes",1
"86","airporta",1
"87","airportcomfortable",1
"90","airportthe",1
"91","airportvery",1
"92","al",1
"96","allstate",1
"98","allthe",1
"108","amazingand",1
"110","ambiance",1
"112","ambiencestayed",1
"113","amd",1
"115","amenitiesfitness",1
"117","amenity",1
"118","ammenities",1
"119","ample",1
"122","annex",1
"123","anniversary",1
"124","annoyed",1
"129","anther",1
"131","anymore",1
"134","anytime",1
"135","anyway",1
"136","anywayour",1
"139","apologystayed",1
"140","apparent",1
"141","apparently",1
"142","appealing",1
"143","appearance",1
"146","appointedstayed",1
"147","appreciate",1
"150","appreciativestayed",1
"151","approach",1
"152","approachable",1
"153","approached",1
"155","approx",1
"156","approximately",1
"158","apron",1
"159","architecture",1
"160","architecturestayed",1
"165","aren",1
"166","argue",1
"168","aroundstayed",1
"169","arrange",1
"171","arranging",1
"174","arrivalsbreakfast",1
"176","arrivaltop",1
"179","arrivedearly",1
"181","art",1
"183","asap",1
"187","asking",1
"191","assigned",1
"193","assisted",1
"194","associatestayed",1
"197","atleast",1
"198","atm",1
"199","atstayed",1
"202","attending",1
"203","attention",1
"206","attractions",1
"207","attractive",1
"208","audible",1
"210","aussie",1
"211","australia",1
"212","australian",1
"214","automatic",1
"218","avg",1
"219","avoids",1
"220","award",1
"223","awayalthough",1
"225","awaythe",1
"227","awesomecollapsed",1
"228","azu",1
"229","azur",1
"230","azura",1
"234","babystayed",1
"235","babythe",1
"236","bacestayed",1
"238","backi",1
"239","backstayed",1
"240","bacon",1
"244","baggages",1
"247","ball",1
"248","ballons",1
"249","bank",1
"251","barely",1
"253","barstayed",1
"255","based",1
"260","bathe",1
"266","bathtube",1
"267","bathtubs",1
"268","bathtubstayed",1
"269","battery",1
"271","bbc",1
"273","bday",1
"275","bear",1
"276","bearly",1
"285","bedprivacydining",1
"289","bedspacious",1
"290","bedsstayed",1
"292","bedswhite",1
"293","bedthe",1
"294","bedwe",1
"298","beginning",1
"300","beijing",1
"306","berth",1
"309","beststayed",1
"312","beverages",1
"313","beware",1
"317","biggest",1
"318","biggie",1
"319","bigstayed",1
"320","bikes",1
"324","birthdaystayed",1
"329","bland",1
"331","blazing",1
"335","blockout",1
"336","blockstayed",1
"338","board",1
"340","boards",1
"341","body",1
"347","bookingcoms",1
"348","booklets",1
"349","boop",1
"354","bottlefor",1
"355","bought",1
"356","bowels",1
"358","box",1
"362","breakfastclean",1
"363","breakfastfriendly",1
"366","breakfastvery",1
"367","breaking",1
"368","brekfast",1
"370","brief",1
"372","brightness",1
"374","bring",1
"376","brown",1
"378","buddy",1
"380","buffets",1
"383","buildingstayed",1
"384","buildins",1
"385","burger",1
"388","busses",1
"394","cabinet",1
"396","cable",1
"399","cakedirect",1
"400","cakes",1
"403","calling",1
"407","camestayed",1
"409","cancellation",1
"415","cardbeing",1
"418","carer",1
"422","carrying",1
"423","carte",1
"426","cash",1
"429","catchstayed",1
"430","category",1
"432","caution",1
"433","cautionary",1
"434","cbd",1
"435","cd",1
"438","central",1
"440","centrestayed",1
"443","chair",1
"444","challenge",1
"448","changeovers",1
"449","changes",1
"451","changing",1
"454","chaotiy",1
"460","charm",1
"464","cheaply",1
"469","checklist",1
"471","checks",1
"472","cheese",1
"473","chemist",1
"474","chic",1
"475","chicken",1
"478","chill",1
"479","china",1
"485","chose",1
"486","chosen",1
"487","chyance",1
"488","cities",1
"490","citycomfortable",1
"491","cityhassle",1
"493","claren",1
"495","classed",1
"497","cleanbut",1
"500","cleaninessstayed",1
"504","cleanstaff",1
"507","clearance",1
"509","clearing",1
"511","clever",1
"512","cleverly",1
"514","clock",1
"522","cocktail",1
"524","cocktailsstayed",1
"527","collect",1
"528","collected",1
"530","color",1
"531","colors",1
"532","colour",1
"535","comfistayed",1
"538","comfortableadvance",1
"539","comfortablebreakfast",1
"540","comfortableroomstayed",1
"545","comfytaxi",1
"546","comfyyou",1
"550","common",1
"551","commute",1
"552","compact",1
"553","company",1
"554","compared",1
"555","compfortable",1
"556","compfy",1
"558","complaining",1
"564","compliment",1
"566","complimentry",1
"569","concern",1
"570","concerned",1
"572","conciergestayed",1
"573","conditioned",1
"574","conditioner",1
"576","conditionstayed",1
"577","confirmation",1
"579","confirms",1
"580","confition",1
"581","confused",1
"582","confusing",1
"583","confusion",1
"584","connect",1
"587","connection",1
"588","connections",1
"589","connectionstayed",1
"590","connectionsuper",1
"591","connectivity",1
"594","consistently",1
"595","console",1
"596","constant",1
"599","contrast",1
"601","controllable",1
"603","conveniences",1
"604","conveniencestayed",1
"608","conversation",1
"609","convince",1
"610","convinced",1
"611","cooked",1
"613","cord",1
"614","cords",1
"615","coredr",1
"617","corporate",1
"620","corridors",1
"624","costthe",1
"626","cotton",1
"627","couch",1
"634","coupled",1
"635","coupon",1
"639","courtesy",1
"640","courts",1
"641","courtyardsstayed",1
"642","coverage",1
"643","covered",1
"644","coverings",1
"645","covers",1
"646","coz",1
"649","creamer",1
"650","creams",1
"652","credits",1
"654","crisp",1
"655","crispness",1
"656","criticism",1
"657","croissants",1
"658","cross",1
"659","crowded",1
"660","crowed",1
"663","cruise",1
"665","cup",1
"666","cups",1
"667","currency",1
"668","currencystayed",1
"674","cut",1
