"","term3","Freq"
"1901","properly",2
"1904","propertystayed",2
"1932","queuing",2
"1933","quick",2
"1942","raining",2
"1952","rd",2
"1957","real",2
"1976","recommendstayed",2
"1977","recreation",2
"1979","reflect",2
"1980","refresh",2
"1982","refreshments",2
"1984","regret",2
"1991","reluctant",2
"1995","remote",2
"2001","requests",2
"2015","return",2
"2031","road",2
"2035","rocks",2
"2036","rollaway",2
"2067","sand",2
"2071","sat",2
"2075","saw",2
"2090","sea",2
"2092","season",2
"2094","seat",2
"2099","section",2
"2108","selection",2
"2122","seperate",2
"2130","servicesstayed",2
"2142","shade",2
"2149","shirt",2
"2152","shoppes",2
"2163","showers",2
"2166","shows",2
"2176","sight",2
"2177","sightseeing",2
"2182","simple",2
"2192","sink",2
"2197","situated",2
"2200","sized",2
"2205","skyline",2
"2213","slightly",2
"2220","smaller",2
"2224","smelly",2
"2228","snacks",2
"2246","sooooo",2
"2249","sort",2
"2267","speed",2
"2269","spending",2
"2280","spread",2
"2281","st",2
"2287","stained",2
"2293","standing",2
"2296","start",2
"2298","starts",2
"2300","stated",2
"2325","straight",2
"2329","street",2
"2346","suggest",2
"2352","suites",2
"2362","sunset",2
"2367","supermarket",2
"2368","supplied",2
"2387","switch",2
"2395","tag",2
"2400","takes",2
"2403","tall",2
"2405","taste",2
"2409","taxes",2
"2413","team",2
"2426","terrace",2
"2434","thanks",2
"2451","thin",2
"2461","thousands",2
"2469","tidy",2
"2484","toiletries",2
"2495","topped",2
"2500","tour",2
"2504","tourists",2
"2522","treatment",2
"2524","tried",2
"2531","truly",2
"2537","tubstayed",2
"2543","twice",2
"2550","umbrellas",2
"2552","unbelievable",2
"2597","usd",2
"2608","valet",2
"2619","vegas",2
"2631","vibe",2
"2633","vie",2
"2644","visited",2
"2654","waitresses",2
"2661","wanna",2
"2692","wedding",2
"2696","welcome",2
"2697","welcoming",2
"2719","wifi",2
"2725","windy",2
"2726","wine",2
"2728","wish",2
"2741","word",2
"2746","works",2
"2752","worst",2
"2754","worthwhile",2
"2767","yes",2
"2","aa",1
"6","abovestayed",1
"7","abrupt",1
"10","ac",1
"12","acceptable",1
"14","accessability",1
"15","accessibility",1
"16","accessible",1
"24","account",1
"26","activities",1
"27","activity",1
"29","add",1
"32","adds",1
"33","adjusted",1
"35","adriftstayed",1
"36","adult",1
"38","advance",1
"39","advantage",1
"40","advertisement",1
"41","advise",1
"42","advised",1
"43","advising",1
"44","afford",1
"46","afraid",1
"50","agains",1
"54","agent",1
"56","aggravating",1
"58","ahhhh",1
"60","aircon",1
"63","airportall",1
"64","alberca",1
"65","alcohol",1
"67","alfresco",1
"69","alledstayed",1
"70","allow",1
"72","allowing",1
"73","allows",1
"79","alsoher",1
"80","alternatives",1
"81","altho",1
"85","amazed",1
"88","amazingonce",1
"89","amazingplenty",1
"91","ambiance",1
"93","ambiencestayed",1
"94","ambiente",1
"97","amenitiesthe",1
"98","amenity",1
"99","ammenitiesthe",1
"103","amthe",1
"106","angle",1
"108","anniversarystayed",1
"110","anonymous",1
"113","answers",1
"114","ant",1
"115","anthill",1
"116","anticipate",1
"117","ants",1
"121","anythingstayed",1
"122","anyway",1
"125","apparently",1
"127","applicable",1
"130","appreciated",1
"131","approach",1
"132","architect",1
"135","arcitecture",1
"140","aren",1
"141","arguably",1
"142","argument",1
"143","arm",1
"145","arrange",1
"147","arranging",1
"150","arriving",1
"157","asleep",1
"158","assessing",1
"159","assisted",1
"160","association",1
"161","assured",1
"163","astoriastayed",1
"167","atrium",1
"169","attend",1
"170","attendants",1
"172","attentionpool",1
"174","attentiveness",1
"176","attracted",1
"179","attractionsstayed",1
"181","attrmessy",1
"183","australia",1
"184","auto",1
"185","automatic",1
"186","automatically",1
"188","availablestayed",1
"189","avatar",1
"191","avoid",1
"193","awaypay",1
"200","bachelor",1
"204","bag",1
"206","bagsthe",1
"207","bakery",1
"210","bang",1
