"","term2","Freq"
"808","queue",1
"809","quietstayed",1
"810","raffles",1
"811","raining",1
"812","range",1
"813","rate",1
"815","rd",1
"817","reach",1
"818","reached",1
"821","reasonably",1
"822","recall",1
"823","receipts",1
"824","received",1
"828","recycling",1
"829","reeeeally",1
"830","refresh",1
"831","refund",1
"833","refurbishment",1
"834","regardless",1
"835","regret",1
"837","remain",1
"838","remains",1
"839","remember",1
"840","rendered",1
"842","renovations",1
"843","repeated",1
"844","replace",1
"845","replacement",1
"846","replenish",1
"847","reported",1
"848","request",1
"849","requested",1
"850","required",1
"851","response",1
"852","responses",1
"855","restaurantalso",1
"857","returning",1
"861","rock",1
"862","roll",1
"863","rooftop",1
"864","rook",1
"867","rose",1
"868","routesstayed",1
"870","royalty",1
"873","saidwe",1
"876","satisfied",1
"877","scented",1
"878","screaming",1
"879","sealant",1
"880","seating",1
"882","sectionstayed",1
"884","see",1
"887","selection",1
"890","sept",1
"893","served",1
"895","servicebut",1
"896","servicesduring",1
"898","servicethey",1
"900","sex",1
"903","sharing",1
"904","shaving",1
"906","shelterbike",1
"907","shift",1
"908","shoot",1
"914","showeringreceptionist",1
"915","showerthe",1
"916","shut",1
"918","sights",1
"919","similar",1
"922","singapurefree",1
"923","single",1
"925","skills",1
"926","sleep",1
"927","slightly",1
"928","slip",1
"929","slow",1
"930","slowest",1
"932","smell",1
"933","smelling",1
"934","smells",1
"935","smelt",1
"937","smoking",1
"938","snack",1
"943","son",1
"944","sooooo",1
"945","sorry",1
"946","soundproffing",1
"950","spastayed",1
"951","specifically",1
"952","spent",1
"953","spontaneously",1
"954","spread",1
"957","staffgreat",1
"959","stand",1
"962","stations",1
"966","steak",1
"969","straight",1
"971","stress",1
"972","stuck",1
"973","styleshould",1
"974","sufficiently",1
"975","suhaimi",1
"976","sultan",1
"977","suntec",1
"980","surely",1
"981","surrounding",1
"982","sweet",1
"983","swim",1
"985","swimung",1
"986","switch",1
"987","switches",1
"988","system",1
"990","take",1
"991","taking",1
"992","talking",1
"993","taps",1
"994","tariff",1
"995","taxes",1
"999","teamthe",1
"1000","temperature",1
"1001","tempting",1
"1002","terrace",1
"1006","thanks",1
"1012","therapist",1
"1016","thines",1
"1020","thinking",1
"1022","thought",1
"1023","thoughtfuloverall",1
"1025","thumps",1
"1029","timely",1
"1030","timer",1
"1031","times",1
"1032","timesstayed",1
"1034","tiring",1
"1042","topper",1
"1044","towels",1
"1045","town",1
"1046","trained",1
"1047","transformingstayed",1
"1049","travel",1
"1050","travelling",1
"1051","treat",1
"1052","treats",1
"1053","trouble",1
"1054","trust",1
"1055","tub",1
"1056","turkish",1
"1057","turning",1
"1060","un",1
"1061","undercooked",1
"1062","understandable",1
"1063","unfortunately",1
"1064","unfriendly",1
"1066","unlimited",1
"1067","unsafe",1
"1068","unwelcoming",1
"1070","updating",1
"1073","upgradestayed",1
"1076","useable",1
"1077","useful",1
"1078","vaguely",1
"1080","valuestayed",1
"1081","variety",1
"1082","varities",1
"1083","vaststayed",1
"1084","ve",1
"1085","vent",1
"1086","venue",1
"1090","visible",1
"1092","wagyu",1
"1093","waiting",1
"1096","wall",1
"1098","wanted",1
"1099","warm",1
"1100","warn",1
"1103","waste",1
"1105","way",1
"1106","ways",1
"1110","welcoming",1
"1112","went",1
"1114","wet",1
"1123","who",1
"1124","whole",1
"1125","whom",1
"1126","wi",1
"1127","wich",1
"1130","window",1
"1132","wish",1
"1133","wished",1
"1138","wonderfulstayed",1
"1140","worked",1
"1141","workers",1
"1145","wouldn",1
"1146","wrong",1
"1148","years",1
"1149","yellow",1
"1150","yes",1
"1154","youthe",1
